Date,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
29-03-2016,CHI,IND,4,15,0.267,0,2,0,0,0,,0,1,1,4,0,0,0,2,8,1.4,-13,Yes,W ,2,28,52
31-03-2016,CHI,HOU,0,0,,0,0,,0,0,,0,0,0,2,0,0,3,0,0,-1.6,-1,Yes,W ,3,11,57
05-04-2016,CHI,MEM,5,15,0.333,0,3,0,2,2,1,2,3,5,8,1,0,5,1,12,7,-6,Yes,L ,-16,35,13
07-04-2016,CHI,MIA,7,16,0.438,0,0,,3,4,0.75,1,2,3,3,2,0,2,0,17,11.6,3,Yes,L ,-8,35,42
09-04-2016,CHI,CLE,5,14,0.357,0,2,0,0,0,,0,2,2,3,0,0,2,0,10,2.9,-20,Yes,W ,3,32,5
25-10-2016,NYK,CLE,7,17,0.412,1,2,0.5,2,2,1,2,1,3,1,0,1,4,1,17,6.6,-19,Yes,L ,-29,29,35
29-10-2016,NYK,MEM,6,13,0.462,0,1,0,1,2,0.5,1,3,4,3,2,1,0,2,13,11.5,7,Yes,W ,7,32,16
01-11-2016,NYK,DET,8,17,0.471,0,1,0,3,3,1,1,4,5,2,0,1,2,0,19,12.3,-4,Yes,L ,-13,31,41
02-11-2016,NYK,HOU,8,18,0.444,0,0,,0,0,,1,3,4,4,2,0,2,2,16,10.2,-15,Yes,L ,-19,29,44
04-11-2016,NYK,CHI,6,16,0.375,0,0,,3,3,1,0,7,7,11,1,1,3,2,15,13.9,12,Yes,W ,13,38,6
06-11-2016,NYK,UTA,7,14,0.5,0,0,,4,4,1,2,2,4,8,1,0,4,3,18,14.4,1,Yes,L ,-5,36,11
09-11-2016,NYK,BRK,6,10,0.6,1,1,1,1,2,0.5,1,2,3,4,0,0,2,1,14,10.7,-10,Yes,W ,14,22,11
11-11-2016,NYK,BOS,3,10,0.3,1,3,0.333,4,4,1,0,4,4,6,0,0,7,4,11,2,-10,Yes,L ,-28,27,6
12-11-2016,NYK,TOR,10,20,0.5,0,3,0,1,2,0.5,2,2,4,4,0,0,4,0,21,11.4,0,Yes,L ,-11,38,8
14-11-2016,NYK,DAL,1,6,0.167,0,1,0,1,2,0.5,0,4,4,5,0,0,5,4,3,-3.1,20,Yes,W ,16,27,32
16-11-2016,NYK,DET,7,15,0.467,0,2,0,1,2,0.5,0,5,5,3,0,1,1,1,15,9.8,2,Yes,W ,3,34,19
17-11-2016,NYK,WAS,8,18,0.444,3,5,0.6,8,8,1,2,0,2,4,1,0,2,1,27,20.4,-8,Yes,L ,-7,38,37
20-11-2016,NYK,ATL,5,14,0.357,0,2,0,4,4,1,1,2,3,7,0,0,4,0,14,8.4,12,Yes,W ,10,29,50
22-11-2016,NYK,POR,8,15,0.533,0,0,,2,2,1,2,2,4,5,2,1,1,4,18,16.3,-3,Yes,W ,4,28,5
25-11-2016,NYK,CHO,6,13,0.462,0,1,0,4,5,0.8,2,1,3,5,1,1,3,1,16,12.4,7,Yes,W ,2,38,7
26-11-2016,NYK,CHO,6,20,0.3,1,3,0.333,5,6,0.833,5,3,8,8,2,2,1,3,18,17.2,-9,Yes,L ,-5,34,9
28-11-2016,NYK,OKC,10,20,0.5,0,2,0,10,10,1,2,5,7,4,0,0,1,0,30,24.7,-1,Yes,L ,-9,38,2
30-11-2016,NYK,MIN,5,12,0.417,1,3,0.333,0,0,,0,0,0,2,1,0,2,4,11,3.4,-9,Yes,W ,2,23,35
02-12-2016,NYK,MIN,9,15,0.6,0,1,0,6,10,0.6,1,4,5,5,1,0,1,1,24,20.5,13,Yes,W ,4,33,54
04-12-2016,NYK,SAC,9,14,0.643,0,0,,2,3,0.667,2,4,6,6,0,0,4,1,20,15.8,-2,Yes,W ,8,33,37
06-12-2016,NYK,MIA,4,12,0.333,0,1,0,2,2,1,1,1,2,3,2,0,1,0,10,7.3,7,Yes,W ,11,24,55
11-12-2016,NYK,LAL,12,16,0.75,0,1,0,1,2,0.5,0,3,3,2,0,1,2,1,25,18.8,13,Yes,W ,6,33,55
13-12-2016,NYK,PHO,0,6,0,0,1,0,2,2,1,0,1,1,0,0,0,0,0,2,-1.9,-5,Yes,L ,-2,9,54
