,Unnamed: 0,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
5,5,2009-11-07,CHI,CHA,1,6,11,.545,0,0,,1,2,.500,0,1,1,4,3,0,7,3,13,5.2,-7,Yes,W ,3,29,59
6,6,2009-11-10,CHI,DEN,1,10,17,.588,0,0,,2,2,1.000,1,0,1,5,1,2,0,2,22,19.9,+12,Yes,L ,-1,39,2
7,7,2009-11-11,CHI,TOR,1,6,14,.429,0,0,,2,2,1.000,1,4,5,6,1,0,1,1,14,12.3,-14,Yes,L ,-10,33,59
8,8,2009-11-14,CHI,PHI,1,7,12,.583,0,0,,0,0,,1,2,3,3,0,0,7,0,14,4.8,-6,Yes,W ,6,36,43
9,9,2009-11-17,CHI,SAC,1,2,12,.167,0,1,.000,6,6,1.000,0,3,3,7,2,1,2,0,10,8.9,+1,Yes,W ,14,33,38
10,10,2009-11-19,CHI,LAL,1,9,20,.450,0,0,,2,2,1.000,0,1,1,6,1,0,2,0,20,13.1,-15,Yes,L ,-15,38,2
11,11,2009-11-21,CHI,DEN,1,11,20,.550,0,1,.000,6,7,.857,1,5,6,3,1,0,5,1,28,17.9,-16,Yes,L ,-19,36,54
12,12,2009-11-23,CHI,POR,1,7,14,.500,0,0,,0,0,,2,1,3,5,1,0,2,4,14,9.6,-15,Yes,L ,-24,39,3
13,13,2009-11-26,CHI,UTA,1,9,17,.529,1,1,1.000,0,0,,1,3,4,2,0,0,4,2,19,8.9,-23,Yes,L ,-19,38,27
14,14,2009-11-30,CHI,MIL,1,8,17,.471,0,0,,3,3,1.000,2,0,2,7,1,0,2,3,19,14.4,+4,Yes,L ,-2,44,9
15,15,2009-12-02,CHI,DET,1,6,9,.667,0,0,,7,9,.778,1,3,4,6,2,0,5,1,19,16.7,+14,Yes,W ,7,38,25
16,16,2009-12-04,CHI,CLE,1,5,16,.313,0,0,,3,3,1.000,0,1,1,7,1,0,1,0,13,9.0,-15,Yes,L ,-14,29,17
17,17,2009-12-05,CHI,TOR,1,3,9,.333,0,0,,3,6,.500,0,0,0,5,0,0,2,1,9,3.8,-22,Yes,L ,-32,27,32
18,18,2009-12-08,CHI,NJN,1,13,23,.565,0,1,.000,1,4,.250,2,5,7,10,1,1,3,2,27,22.7,+11,Yes,L ,-2,42,15
19,19,2009-12-09,CHI,ATL,1,7,18,.389,0,0,,5,5,1.000,1,1,2,7,0,0,5,0,19,10.1,-22,Yes,L ,-35,32,1
20,21,2009-12-11,CHI,GSW,1,7,22,.318,0,1,.000,1,2,.500,1,1,2,5,0,0,3,1,15,3.1,+1,Yes,W ,5,43,29
21,22,2009-12-12,CHI,BOS,1,8,19,.421,0,0,,3,5,.600,2,3,5,3,1,1,1,1,19,12.8,-12,Yes,L ,-26,35,21
22,23,2009-12-15,CHI,LAL,1,9,22,.409,0,0,,3,4,.750,0,4,4,6,0,0,2,2,21,11.4,+8,Yes,L ,-9,33,19
23,24,2009-12-17,CHI,NYK,1,8,18,.444,0,0,,2,2,1.000,1,3,4,6,1,0,3,1,18,12.0,-10,Yes,W ,9,35,30
24,25,2009-12-19,CHI,ATL,1,14,24,.583,0,1,.000,4,6,.667,1,3,4,6,0,0,0,0,32,25.8,+4,Yes,W ,3,42,44
