,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played,Trp Dbl,Team
606,953,13,13,2021-01-20,DET,ATL,0,7,15,0.467,0,1,0.0,0,0,,0,1,1,1,1,1,1,2,14,7.2,-14,Yes,L ,-8,28,30,No,Michigan
607,954,14,14,2021-01-22,DET,HOU,0,3,11,0.273,1,2,0.5,2,2,1.0,1,4,5,3,0,0,1,1,9,5.1,-11,Yes,L ,-1,19,33,No,Michigan
608,957,17,17,2021-01-27,DET,CLE,0,5,10,0.5,2,3,0.667,1,2,0.5,0,0,0,3,0,0,2,0,13,7.7,-28,Yes,L ,-15,19,7,No,Michigan
609,958,18,18,2021-01-28,DET,LAL,0,6,12,0.5,0,2,0.0,2,2,1.0,0,1,1,3,2,0,2,0,14,10.4,-6,Yes,W ,15,20,21,No,Michigan
610,959,19,19,2021-01-30,DET,GSW,0,3,11,0.273,0,1,0.0,2,2,1.0,2,0,2,2,1,0,0,0,8,5.3,-1,Yes,L ,-27,17,3,No,Michigan
611,963,23,24,2021-02-09,NYK,MIA,0,5,9,0.556,2,3,0.667,2,2,1.0,0,1,1,3,1,1,2,0,14,11.8,6,Yes,L ,-2,20,20,No,New York
612,964,24,25,2021-02-12,NYK,WAS,0,7,11,0.636,0,1,0.0,0,0,,0,3,3,6,4,0,2,0,14,16.2,18,Yes,W ,18,19,58,No,New York
613,965,25,26,2021-02-13,NYK,HOU,0,5,11,0.455,1,3,0.333,5,7,0.714,0,1,1,3,0,0,1,0,16,10.9,18,Yes,W ,22,22,32,No,New York
614,966,26,27,2021-02-15,NYK,ATL,0,3,9,0.333,0,1,0.0,2,2,1.0,0,3,3,3,0,2,2,4,8,3.7,8,Yes,W ,11,23,37,No,New York
615,967,27,28,2021-02-17,NYK,ORL,0,1,10,0.1,0,1,0.0,2,2,1.0,1,5,6,2,0,0,1,0,4,0.0,-15,Yes,L ,-18,16,33,No,New York
616,968,28,29,2021-02-21,NYK,MIN,0,1,8,0.125,0,1,0.0,2,2,1.0,0,1,1,2,1,0,1,1,4,0.1,-12,Yes,W ,4,18,44,No,New York
617,969,29,30,2021-02-23,NYK,GSW,0,6,15,0.4,2,4,0.5,2,2,1.0,0,4,4,8,1,1,1,1,16,15.0,12,Yes,L ,-8,27,10,No,New York
618,970,30,31,2021-02-25,NYK,SAC,1,7,11,0.636,2,2,1.0,2,2,1.0,0,3,3,6,0,0,3,2,18,14.4,4,Yes,W ,19,27,35,No,New York
619,971,31,32,2021-02-27,NYK,IND,1,6,11,0.545,1,3,0.333,4,4,1.0,0,1,1,11,4,0,4,2,17,18.9,11,Yes,W ,3,37,42,No,New York
620,972,32,33,2021-02-28,NYK,DET,1,6,14,0.429,2,3,0.667,0,1,0.0,0,3,3,5,0,2,2,2,14,9.2,17,Yes,W ,19,32,9,No,New York
621,983,43,45,2021-03-27,NYK,MIL,0,6,15,0.4,1,5,0.2,0,0,,0,1,1,1,2,1,1,1,13,7.2,7,Yes,W ,6,29,6,No,New York
622,984,44,46,2021-03-29,NYK,MIA,0,6,13,0.462,3,5,0.6,1,2,0.5,0,2,2,2,0,1,1,1,16,10.2,-2,Yes,L ,-10,26,19,No,New York
623,986,46,48,2021-04-02,NYK,DAL,0,1,10,0.1,0,2,0.0,0,0,,3,2,5,4,0,0,0,0,2,0.9,3,Yes,L ,-13,25,24,No,New York
624,987,47,49,2021-04-03,NYK,DET,0,3,6,0.5,0,3,0.0,1,2,0.5,0,2,2,2,2,0,0,0,7,7.6,18,Yes,W ,44,20,34,No,New York
625,988,48,50,2021-04-05,NYK,BRK,0,6,14,0.429,2,4,0.5,2,3,0.667,0,1,1,3,1,0,0,1,16,11.2,-8,Yes,L ,-2,25,25,No,New York
626,989,49,51,2021-04-07,NYK,BOS,0,4,10,0.4,1,1,1.0,2,2,1.0,0,0,0,3,0,0,0,0,11,7.7,6,Yes,L ,-2,26,33,No,New York
